iter	RMSE
0	0.9857953492
1	0.9562600872
2	0.9289896992
3	0.9066043204
4	0.8844442146
5	0.8642812852
6	0.8453348637
7	0.8281502891
8	0.8122860647
9	0.7983523865
10	0.7854947864
11	0.7729460245
12	0.7621924585
13	0.7520726557
14	0.7427799889
15	0.7337891756
16	0.7255119095
17	0.7188872805
18	0.7120071467
19	0.7059279432
20	0.7004214018
21	0.6950779969
22	0.6902122461
23	0.6855775268
24	0.6815541049
25	0.6777481003
26	0.6742217744
27	0.6712064754
28	0.6681684936
29	0.6650872652
30	0.6626001114
31	0.6603010316
32	0.6580940525
33	0.6559854016
34	0.6538484331
35	0.6521051235
36	0.650490862
37	0.6488968596
38	0.6473793068
39	0.645887717
40	0.6444469516
41	0.6431468687
42	0.6419516269
43	0.641068024
44	0.6400239051
45	0.6390193046
46	0.638070104
47	0.6371162256
48	0.6361505455
49	0.6352723622
50	0.6345984028
51	0.6337761833
52	0.6330019399
53	0.6321892101
54	0.6314961195
55	0.6307766565
56	0.6301214394
57	0.6295074931
58	0.6290317828
59	0.6284116257
60	0.6279147231
61	0.6273586349
62	0.6267615876
63	0.6262348289
64	0.6257251735
65	0.6252391364
66	0.6248203912
67	0.6244574264
68	0.6239405472
69	0.6234715444
70	0.6231159403
71	0.6227448922
72	0.6222985808
73	0.6218399737
74	0.6214531161
75	0.6211071631
76	0.6206983913
77	0.6202892361
78	0.6199253381
79	0.6195937556
80	0.619301697
81	0.6189452592
82	0.6186381947
83	0.618311695
84	0.6179958068
85	0.6176882647
86	0.6173068205
87	0.6170435633
88	0.6167347922
89	0.6164708093
90	0.6161455547
91	0.6158785988
92	0.6155984596
93	0.6153536139
94	0.6150152421
95	0.6147054119
96	0.6144623173
97	0.6142030762
98	0.6139700629
99	0.6137465593
100	0.6135310121
101	0.6133189314
102	0.6130520221
103	0.6127609112
104	0.6125349108
105	0.6123098689
106	0.6120089048
107	0.6118047063
108	0.6115788279
109	0.6112883305
110	0.6109881556
111	0.6108272257
112	0.6106460781
113	0.6103766321
114	0.6102347453
115	0.6100079214
116	0.6098650314
117	0.609680234
118	0.6095002468
119	0.6092515751
120	0.6090921631
121	0.6088214378
122	0.6086579646
123	0.6085179927
124	0.6082865417
125	0.6081391659
126	0.608018303
127	0.6078081022
128	0.6076081043
129	0.607459438
130	0.6072734839
131	0.6071069544
132	0.6069028573
133	0.6066663652
134	0.6065014204
135	0.6063172347
136	0.6061389696
137	0.6059399132
138	0.6058099575
139	0.6056829239
140	0.6055959407
141	0.6053830474
142	0.6052686313
143	0.605085555
144	0.6048490291
145	0.6046833594
146	0.6045726203
147	0.6044392948
148	0.6042681645
149	0.6041367774
150	0.6039918395
151	0.603836217
152	0.6037320394
153	0.6035738985
154	0.6034967809
155	0.6033810512
156	0.6031983412
157	0.6029897468
158	0.6027986647
159	0.6026036888
160	0.6025117042
161	0.6024397149
162	0.6022730745
163	0.6020771608
164	0.6019660487
165	0.6018883667
166	0.6016411323
167	0.6014349949
168	0.6013040413
169	0.6012204611
170	0.6009998235
171	0.6009000382
172	0.6007285174
173	0.6005420032
174	0.6004821675
175	0.6003537234
176	0.600283636
177	0.6001623414
178	0.6000065306
179	0.5998051774
180	0.5997004229
181	0.5995443238
182	0.5994557474
183	0.5992376793
184	0.599145624
185	0.5990457045
186	0.5989424277
187	0.5987568718
188	0.5986711229
189	0.5985403279
190	0.598506027
191	0.5983743374
192	0.5981936486
193	0.5980567014
194	0.5979038046
195	0.5977743555
196	0.5976587664
197	0.597514577
198	0.5973557365
199	0.5972638103
200	0.5971817026
201	0.5970823341
202	0.5968724662
203	0.596765205
204	0.5965757487
205	0.5963892969
206	0.5962896775
207	0.5961707274
208	0.5961138283
209	0.5960144269
210	0.5958499714
211	0.5957430244
212	0.5956748716
213	0.5955662159
214	0.595368026
215	0.5952727665
216	0.5951495944
217	0.5949744886
218	0.5947669325
219	0.5946503481
220	0.5944860757
221	0.5943655064
222	0.5942696692
223	0.5941797265
224	0.5941349003
225	0.5940237553
226	0.593861701
227	0.5937150051
228	0.5935434128
229	0.5933176007
230	0.5931780972
231	0.593008106
232	0.5929222978
233	0.5927988633
234	0.5926878865
235	0.5925692369
236	0.5924432333
237	0.5922585791
238	0.5921455777
239	0.5920704839
240	0.591912982
241	0.5917988025
242	0.5916995661
243	0.5915934673
244	0.5914932316
245	0.5913755662
246	0.591294075
247	0.5911655481
248	0.5910922655
249	0.5909916372
250	0.5909071293
251	0.5908192617
252	0.5907028216
253	0.5906107172
254	0.5905944402
255	0.5904806926
256	0.5903474826
257	0.5902930082
258	0.590168086
259	0.5901212409
260	0.5899440025
261	0.5898658607
262	0.5897678611
263	0.58974992
264	0.5895943881
265	0.5894759486
266	0.5893955793
267	0.5892593153
268	0.589214003
269	0.5891101996
270	0.5889347063
271	0.5888139578
272	0.5886918876
273	0.5886308562
274	0.5885552539
275	0.5884241704
276	0.5882561784
277	0.5881621306
278	0.588142363
279	0.5881043828
280	0.5880787244
281	0.5879881083
282	0.5879474465
283	0.5879223094
284	0.5878031491
285	0.5876343761
286	0.5875527029
287	0.5874785531
288	0.5874488621
289	0.587404891
290	0.5872715662
291	0.5872694161
292	0.58715349
293	0.586983045
294	0.5868507578
295	0.5867290891
296	0.5865820803
297	0.5864782828
298	0.5863799252
299	0.5863277963
300	0.586232555
301	0.5860781693
302	0.586037759
303	0.5858934563
304	0.5858099458
305	0.5857024164
306	0.5856241509
307	0.585607864
308	0.5854606483
309	0.5852947984
310	0.5851979267
311	0.5851789745
312	0.5851050386
313	0.5850167778
314	0.5849492875
315	0.5848970964
316	0.5847732531
317	0.5846210905
318	0.5845468459
319	0.5844212246
320	0.584321699
321	0.5842781356
322	0.5841645849
323	0.5841316845
324	0.5840306445
325	0.5839306323
326	0.5838699271
327	0.5837718348
328	0.5837438325
329	0.5836537065
330	0.5836498727
331	0.5836050071
332	0.5835436227
333	0.5834031303
334	0.5832985557
335	0.583181704
336	0.5831689324
337	0.5830962384
338	0.583061463
339	0.583005969
340	0.5829374095
341	0.58286666
342	0.5828340051
343	0.5827628739
344	0.5826153607
345	0.5824796782
346	0.5823551919
347	0.5822609144
348	0.5822482554
349	0.5821632382
350	0.5821089199
351	0.5820259045
352	0.5819359773
353	0.5818474049
354	0.5817392783
355	0.5816801597
356	0.5816289271
357	0.5815400467
358	0.5814587345
359	0.5813667183
360	0.5812780966
361	0.5812154396
362	0.5811857769
363	0.581098239
364	0.5809780201
365	0.5808754555
366	0.5808689492
367	0.5808018724
368	0.5807540756
369	0.5806713427
370	0.5805995186
371	0.5805262202
372	0.5804702895
373	0.5803897569
374	0.580321453
375	0.5802389155
376	0.5801642637
377	0.5800900179
378	0.5800236208
379	0.5799194858
380	0.5798791028
381	0.5798286689
382	0.5797031965
383	0.5796562121
384	0.5796542185
385	0.5795883754
386	0.5794858507
387	0.5793968347
388	0.5792752598
389	0.5792640501
390	0.5792585576
391	0.5792454027
392	0.5791556245
393	0.5790651634
394	0.5789471078
395	0.5789308445
396	0.5789196362
397	0.5788350742
398	0.578767563
399	0.578682405
400	0.5786348951
401	0.5785761198
402	0.5784614964
403	0.5783939644
404	0.5783921762
405	0.5782910813
406	0.5782063352
407	0.5781985898
408	0.5781683201
409	0.5781078708
410	0.5780435325
411	0.5779366158
412	0.5778532432
413	0.5777602513
414	0.5776480218
415	0.5775935627
416	0.5775121743
417	0.577448052
418	0.5773935487
419	0.5773665826
420	0.5773077809
421	0.5773053789
422	0.5773017816
423	0.5772566563
424	0.5771509335
425	0.5771473012
426	0.5770674908
427	0.5769418304
428	0.5768609584
429	0.5767822782
430	0.5767420985
431	0.576655109
432	0.5766099762
433	0.5766008699
434	0.5765911582
435	0.5765887976
436	0.5764898825
437	0.576377863
438	0.5762942078
439	0.5762582484
440	0.5761808922
441	0.5761068381
442	0.5760850529
443	0.5760804985
444	0.576009661
445	0.5758684798
446	0.5757295165
447	0.57562983
448	0.5755996121
449	0.5754706148
450	0.5753844015
451	0.5753467976
452	0.5753438216
453	0.5753417107
454	0.5753393896
455	0.5752605886
456	0.5752243977
457	0.5751036772
458	0.5749906699
459	0.5749425818
460	0.5748446759
461	0.5747657369
462	0.5747346633
463	0.5746341585
464	0.574606612
