iter	Passed	Remaining
0	18	11037
1	29	8737
2	42	8460
3	60	9068
4	79	9513
5	87	8706
6	106	9033
7	126	9356
8	136	8942
9	153	9068
10	173	9276
11	191	9380
12	210	9509
13	231	9670
14	249	9736
15	268	9798
16	290	9949
17	308	9985
18	329	10076
19	347	10074
20	366	10098
21	385	10117
22	404	10146
23	423	10172
24	442	10173
25	461	10182
26	478	10155
27	498	10191
28	517	10193
29	537	10212
30	556	10211
31	575	10216
32	587	10089
33	604	10063
34	622	10047
35	641	10053
36	659	10032
37	677	10021
38	694	9994
39	712	9972
40	729	9947
41	747	9930
42	761	9860
43	770	9736
44	780	9631
45	799	9629
46	813	9571
47	833	9581
48	853	9593
49	872	9599
50	887	9549
51	908	9577
52	928	9581
53	949	9599
54	968	9600
55	988	9600
56	1009	9613
57	1027	9598
58	1044	9580
59	1064	9576
60	1081	9557
61	1101	9554
62	1119	9544
63	1137	9525
64	1154	9504
65	1172	9488
66	1191	9474
67	1208	9453
68	1226	9440
69	1244	9424
70	1262	9407
71	1280	9389
72	1299	9378
73	1317	9367
74	1336	9353
75	1349	9301
76	1366	9282
77	1385	9269
78	1404	9263
79	1423	9250
80	1442	9241
81	1461	9231
82	1479	9217
83	1497	9201
84	1516	9186
85	1534	9171
86	1552	9156
87	1572	9146
88	1591	9136
89	1609	9119
90	1627	9102
91	1645	9084
92	1663	9070
93	1684	9068
94	1702	9052
95	1720	9032
96	1737	9010
97	1756	8999
98	1774	8982
99	1793	8966
100	1812	8952
101	1829	8934
102	1847	8916
103	1866	8902
104	1885	8889
105	1904	8875
106	1924	8866
107	1942	8850
108	1961	8834
109	1979	8819
110	2000	8813
111	2018	8792
112	2036	8777
113	2055	8763
114	2074	8747
115	2093	8736
116	2113	8723
117	2132	8708
118	2149	8689
119	2168	8672
120	2185	8652
121	2202	8631
122	2220	8611
123	2238	8591
124	2256	8575
125	2274	8556
126	2291	8535
127	2309	8518
128	2326	8494
129	2346	8483
130	2364	8463
131	2382	8448
132	2400	8429
133	2418	8410
134	2436	8392
135	2453	8370
136	2475	8364
137	2493	8347
138	2512	8332
139	2531	8318
140	2551	8304
141	2570	8289
142	2588	8271
143	2606	8254
144	2624	8236
145	2643	8218
146	2661	8201
147	2680	8186
148	2699	8170
149	2717	8152
150	2735	8135
151	2754	8117
152	2772	8101
153	2792	8086
154	2805	8053
155	2823	8035
156	2843	8022
157	2863	8009
158	2883	7996
159	2901	7979
160	2920	7963
161	2938	7944
162	2957	7929
163	2976	7912
164	2995	7895
165	3012	7875
166	3030	7856
167	3048	7838
168	3066	7821
169	3086	7806
170	3105	7791
171	3124	7774
172	3143	7757
173	3161	7739
174	3179	7721
175	3198	7706
176	3217	7689
177	3236	7672
178	3255	7656
179	3273	7638
180	3291	7619
181	3309	7601
182	3327	7583
183	3346	7566
184	3364	7548
185	3382	7529
186	3401	7512
187	3420	7495
188	3439	7479
189	3458	7463
190	3476	7444
191	3495	7427
192	3514	7411
193	3532	7391
194	3551	7375
195	3567	7353
196	3588	7340
197	3606	7323
198	3625	7305
199	3645	7290
200	3664	7274
201	3683	7257
202	3704	7243
203	3723	7227
204	3743	7213
205	3762	7196
206	3782	7181
207	3802	7165
208	3820	7146
209	3838	7128
210	3858	7113
211	3877	7096
212	3898	7082
213	3918	7067
214	3938	7052
215	3958	7036
216	3976	7018
217	3995	7001
218	4014	6984
219	4033	6966
220	4053	6950
221	4075	6940
222	4095	6923
223	4115	6907
224	4136	6893
225	4160	6884
226	4179	6868
227	4200	6853
228	4221	6839
229	4242	6824
230	4262	6808
231	4282	6792
232	4300	6774
233	4320	6758
234	4340	6742
235	4359	6724
236	4378	6706
237	4396	6687
238	4415	6669
239	4433	6650
240	4453	6633
241	4471	6615
242	4490	6596
243	4506	6574
244	4527	6560
245	4546	6542
246	4564	6523
247	4584	6506
248	4602	6487
249	4621	6469
250	4639	6450
251	4658	6433
252	4676	6414
253	4695	6396
254	4713	6376
255	4736	6364
256	4756	6347
257	4776	6332
258	4797	6316
259	4817	6300
260	4837	6282
261	4855	6264
262	4874	6246
263	4892	6226
264	4911	6208
265	4929	6189
266	4948	6171
267	4965	6151
268	4985	6134
269	5004	6116
270	5025	6101
271	5046	6085
272	5066	6068
273	5085	6051
274	5104	6033
275	5124	6015
276	5142	5996
277	5161	5978
278	5179	5958
279	5196	5939
280	5215	5920
281	5233	5901
282	5252	5883
283	5269	5863
284	5288	5844
285	5306	5825
286	5324	5807
287	5345	5790
288	5364	5772
289	5382	5753
290	5400	5734
291	5418	5714
292	5436	5696
293	5456	5679
294	5475	5661
295	5497	5645
296	5517	5628
297	5538	5613
298	5557	5594
299	5576	5576
300	5594	5556
301	5612	5538
302	5632	5520
303	5650	5501
304	5670	5484
305	5687	5464
306	5708	5448
307	5732	5434
308	5753	5418
309	5773	5400
310	5792	5382
311	5811	5364
312	5831	5346
313	5853	5331
314	5874	5315
315	5893	5296
316	5914	5280
317	5934	5263
318	5954	5244
319	5973	5226
320	5992	5208
321	6011	5189
322	6031	5172
323	6053	5157
324	6073	5139
325	6094	5122
326	6116	5106
327	6136	5088
328	6154	5069
329	6174	5052
330	6194	5034
331	6214	5016
332	6233	4997
333	6253	4980
334	6273	4962
335	6294	4945
336	6312	4926
337	6332	4908
338	6350	4889
339	6369	4870
340	6389	4852
341	6410	4835
342	6429	4817
343	6448	4798
344	6466	4779
345	6487	4762
346	6506	4744
347	6526	4726
348	6545	4707
349	6563	4688
350	6584	4671
351	6606	4654
352	6626	4636
353	6646	4618
354	6665	4600
355	6686	4582
356	6705	4564
357	6725	4546
358	6743	4527
359	6762	4508
360	6782	4490
361	6802	4472
362	6822	4454
363	6841	4435
364	6861	4417
365	6880	4399
366	6899	4380
367	6919	4362
368	6939	4343
369	6958	4325
370	6977	4307
371	6998	4289
372	7017	4270
373	7038	4253
374	7058	4235
375	7078	4216
376	7101	4200
377	7122	4182
378	7141	4164
379	7160	4145
380	7178	4126
381	7197	4107
382	7215	4088
383	7233	4069
384	7251	4049
385	7269	4030
386	7287	4011
387	7306	3991
388	7324	3972
389	7341	3953
390	7359	3934
391	7377	3914
392	7395	3895
393	7414	3876
394	7433	3857
395	7450	3838
396	7468	3818
397	7485	3799
398	7503	3780
399	7522	3761
400	7539	3741
401	7557	3722
402	7575	3703
403	7593	3683
404	7611	3664
405	7634	3647
406	7655	3630
407	7674	3611
408	7693	3592
409	7713	3574
410	7732	3555
411	7752	3537
412	7770	3518
413	7792	3501
414	7813	3483
415	7835	3465
416	7854	3447
417	7875	3428
418	7894	3410
419	7913	3391
420	7931	3372
421	7948	3352
422	7965	3333
423	7983	3313
424	8001	3294
425	8019	3275
426	8030	3253
427	8047	3234
428	8065	3214
429	8082	3195
430	8100	3176
431	8118	3157
432	8136	3138
433	8160	3121
434	8177	3101
435	8194	3082
436	8212	3063
437	8231	3044
438	8249	3025
439	8267	3006
440	8285	2987
441	8304	2968
442	8322	2949
443	8344	2931
444	8366	2914
445	8393	2898
446	8415	2880
447	8431	2860
448	8450	2841
449	8469	2823
450	8489	2804
451	8508	2785
452	8527	2767
453	8548	2749
454	8573	2732
455	8592	2713
456	8609	2693
457	8630	2675
458	8649	2656
459	8668	2638
460	8687	2619
461	8707	2600
462	8726	2582
463	8744	2563
464	8763	2544
465	8781	2525
466	8800	2506
467	8819	2487
468	8836	2468
469	8856	2449
470	8874	2430
471	8893	2411
472	8912	2393
473	8929	2373
474	8948	2354
475	8966	2335
476	8986	2317
477	9005	2298
478	9024	2279
479	9037	2259
480	9055	2240
481	9073	2221
482	9092	2202
483	9109	2183
484	9126	2164
485	9144	2144
486	9165	2126
487	9185	2108
488	9205	2089
489	9224	2070
490	9243	2052
491	9262	2033
492	9275	2013
493	9291	1993
494	9309	1974
495	9327	1955
496	9348	1937
497	9366	1918
498	9386	1899
